Code MPN;Omschrijving MPN;X_coordinaat;Y_coordinaat
MPN1481;Gemaal Van Borssele;40180;381650
MPN1484;Gemaal Hellewoud;45764;378707
MPN1501;Gemaal Joh. Glerum;61004;383606
MPN1503;Gemaal Waarde;63317;381312
MPN3055;Spuiboezem Bath, midden;73785;379612
MPN5650;Walcheren, effuent totaal;31600;385200
MPN9550;Westelijke Spuikanaalweg, Bath;74814;379743
MPN9930;Gemaal Kampen;55503;375981
MPN9952;Gemaal Paal;65420;374842
MPN10086;Otheense kreek (wachtsluis);48343;372335
MPN10238;Uitwateringssluis Braakmankreek;42255;372983
MPN10244;Gemaal Westelijke Rijks Waterleiding;45158;372485
MPN10323;Uitwateringssluis Nol Zeven;36889;376478
MPN10357;Uitwateringskanaal Gemaal Cadzand-Bad;15410;378321
MPN10372;Gemaal Nieuwe Sluis;24019;381199
